0.0219691886	27.4540938741
0.0585381370	31.0287601426
0.0909036700	33.0407624686
0.1428643387	35.9594868157
0.1967755439	40.3281727441
0.2705263304	45.7652615247
0.3465559866	50.7101879626
0.4223266648	53.3725207502
0.5179848370	56.0208491494
0.6365819089	58.3103704173
0.7916643626	59.5950078248
0.9495743849	59.7664753926
1.1467651576	58.2588106565
1.3205482757	56.1372112376
1.5102537373	53.4169923843
1.6415044378	51.2656343579
1.8189191390	48.4886164154
1.9996074222	45.7423410500
2.1954758060	42.3235029502
2.2916489145	40.6882015630
2.4652939321	37.6003151620
2.5527647379	36.2110463310
2.7374552289	33.5673675513
2.8806273994	31.7448779640
2.9969869099	29.9206145792
3.1114735262	28.1389089470
3.2426952635	26.5707491627
3.3494239212	25.1732784192
3.4808509027	23.7100938537
3.6142743455	22.2994852308
3.7199336700	20.9838315880
3.8335195365	19.7555865962
3.9530644669	18.5781147685
4.0726146381	17.4610740715
4.1862063277	16.4288347146
4.2863318541	15.5205533241
4.4053892032	14.5693518170
4.5091056606	13.7286274972
4.6227634423	12.8264363498
4.7423214747	12.0451364883
4.8559437356	11.2962303260
4.9576142402	10.6560830139
5.0473723570	10.0689229693
5.1430805327	9.5124309758
5.2507291719	8.9449946912
5.3524386185	8.4031668442
5.4541502487	7.8923236471
5.5635484954	7.4271770722
5.6495491144	6.9919058089
5.7797354992	6.4999039583
5.8550200911	6.1597153131
5.9507463079	5.8081081273
6.0464790758	5.4727517280
6.1422413230	5.1405940369
6.2240048579	4.8628031735
6.3277949619	4.5463959218
6.3937925790	4.3713749698
6.4910005711	4.1162987162
6.6030992306	3.8023571394
6.6863490608	3.6149729706
6.7892538614	3.3843811121
6.8664772193	3.1900866105
7.0142439384	2.8969493044
7.1537738701	2.6512765868
7.2625326120	2.4759033840
7.3632296285	2.3088765884
7.4589820493	2.1710147744
7.5547573986	2.0364058858
7.6505360233	1.9094769010
7.7463080970	1.7917089904
7.8420736197	1.6823778236
7.9318861720	1.5804879401
8.0216917054	1.4858791157
8.1415716575	1.3712960816
